0,476
1,464
2,465
3,466
4,467
5,469
6,471
7,472
8,471
9,478
10,468
11,464
12,451
13,451
14,452
15,453
16,447
17,445
18,444
19,444
20,442
21,442
22,442
23,454
24,457
25,460
26,475
27,467
28,464
29,482
30,464
31,482
32,480
33,458
34,448
35,431
36,406
37,372
38,333
39,315
40,285
41,258
42,234
43,217
44,209
45,193
46,219
47,238
48,267
49,299
50,337
51,417
52,486
53,532
54,530
55,512
56,443
57,407
58,364
59,342
60,311
61,281
62,260
63,240
64,231
65,224
66,236
67,252
68,277
69,308
70,343
71,378
72,416
73,448
74,475
75,494
76,502
77,504
78,494
79,474
80,444
81,420
82,391
83,353
84,316
85,301
86,277
87,259
88,244
89,238
90,243
91,254
92,277
93,301
94,330
95,359
96,396
97,429
98,455
99,483
100,501
101,503
102,492
103,468
104,441
105,413
106,377
107,342
108,314
109,293
110,346
111,344
112,343
113,341
114,341
115,340
116,338
117,254
118,289
119,327
120,366
121,407
122,437
123,460
124,483
125,492
126,496
127,486
128,463
129,432
130,394
131,351
132,302
133,261
134,215
135,181
136,154
137,136
138,129
139,131
140,144
141,178
142,216
143,254
144,295
145,333
146,373
147,405
148,428
149,443
150,451
151,448
152,431
153,407
154,375
155,339
156,295
157,262
158,233
159,207
160,188
161,183
162,201
163,215
164,236
165,260
166,287
167,315
168,354
169,389
170,420
171,452
172,471
173,505
